"","Samples","SHANNON","SIMPSON"
"1","B_2_1",2.35477878616839,0.884306226142411
"2","B_2_2",2.30307765239606,0.873798671798726
"3","B_2_3",2.37186244912435,0.888781179727949
"4","B_3_2",2.29190274191998,0.873032723640537
"5","B_3_3",2.3168148965963,0.879127742620404
"6","B_4_1",2.37269886396946,0.886489793288191
"7","B_4_2",2.36453682907845,0.885988001233375
"8","B_4_3",2.28259434532746,0.870105606547383
"9","B_5_1",2.30104904504469,0.87240248729089
"10","B_5_3",2.28133018185069,0.876707571300554
"11","B_6_1",2.31385730203848,0.873122183350546
"12","B_6_2",2.28467332708797,0.870825131663929
"13","B_6_3",2.34567755438137,0.882577221398307
"14","B_7_1",2.34346493963169,0.883375477271864
"15","B_7_2",2.29591600229914,0.874020484806708
"16","B_7_3",2.35079537491528,0.883812237900543
"17","B_8_1",2.18570214366084,0.858291720125312
"18","B_8_2",2.24714438715159,0.866798151742531
"19","B_8_3",2.22842884719086,0.864529539997026
"20","B_9_1",2.35242454508541,0.880762082738509
"21","B_9_2",2.19822581464991,0.860592669025737
"22","B_9_3",2.27497223128044,0.866867625022976
"23","R_2_1",2.30339565604469,0.878590456731713
"24","R_2_2",2.25123371461528,0.868883426893311
"25","R_2_3",2.25394764829713,0.865049389532585
"26","R_3_1",2.37585841199482,0.88308726652058
"27","R_3_2",2.27862910763857,0.869039262205043
"28","R_3_3",2.35407272767329,0.881411698144369
"29","R_4_1",2.26505449888949,0.869112603427153
"30","R_4_2",2.25954173451605,0.862266523145366
"31","R_4_3",2.25879833405977,0.860390165090128
"32","R_5_1",2.1766481694642,0.844601363665246
"33","R_5_2",2.23721086994314,0.856006611476388
"34","R_5_3",2.24637637022137,0.861058413188684
"35","R_6_1",2.27114074127111,0.873825280457226
"36","R_6_2",2.28249374712244,0.872376406959212
"37","R_6_3",2.21270860916967,0.857700241660942
"38","R_7_1",2.25077327447921,0.866783435202109
"39","R_7_2",2.21333813800605,0.861281761529405
"40","R_7_3",2.29489540797055,0.876988314198528
"41","R_8_1",2.23037278231639,0.860791770618788
"42","R_8_2",2.25175585715699,0.8660956120256
"43","R_8_3",2.2194327101555,0.861425696378629
"44","R_9_1",2.27276210561801,0.866615075181707
"45","R_9_2",2.27178009472557,0.86696853491919
"46","R_9_3",2.15771164898736,0.850428755197769
